App Name,App Id,Platform,Keyword,Store Domain,Store,Note,Last Update,Ranking,Change,Popularity,Difficulty,Apps in Ranking,Tags
BLW Baby Introdução Alimentar,6758321287,iphone,starting solids,br,🇧🇷 Brazil,,2026-05-23 02:40:11 +0000,24,0,28,5,62,
BLW Baby Introdução Alimentar,6758321287,iphone,blw meals,br,🇧🇷 Brazil,,2026-05-23 02:40:12 +0000,13,0,6,5,67,
BLW Baby Introdução Alimentar,6758321287,iphone,diário alimentar,br,🇧🇷 Brazil,,2026-05-23 02:40:12 +0000,40,0,23,44,209,
BLW Baby Introdução Alimentar,6758321287,iphone,baby food,br,🇧🇷 Brazil,,2026-05-23 02:40:13 +0000,42,0,8,7,210,
BLW Baby Introdução Alimentar,6758321287,iphone,alimentos,br,🇧🇷 Brazil,,2026-05-23 02:40:14 +0000,65,0,11,55,235,
BLW Baby Introdução Alimentar,6758321287,iphone,introducao alimentar,br,🇧🇷 Brazil,,2026-05-23 02:40:14 +0000,21,0,40,21,47,
BLW Baby Introdução Alimentar,6758321287,iphone,solid start,br,🇧🇷 Brazil,,2026-05-23 02:40:13 +0000,36,0,8,5,77,
BLW Baby Introdução Alimentar,6758321287,iphone,baby weaning,br,🇧🇷 Brazil,,2026-05-23 02:40:12 +0000,94,0,25,11,201,
BLW Baby Introdução Alimentar,6758321287,iphone,solid starts baby first foods,br,🇧🇷 Brazil,,2026-05-23 02:40:11 +0000,24,0,9,5,64,
BLW Baby Introdução Alimentar,6758321287,iphone,solid starts,br,🇧🇷 Brazil,,2026-05-23 02:40:10 +0000,29,0,50,9,91,
BLW Baby Introdução Alimentar,6758321287,iphone,blw,br,🇧🇷 Brazil,,2026-05-23 02:40:10 +0000,18,0,48,13,147,
